Timeline Order,X Label,Run Family,Run Family Label,Phase,Phase Label,Checkpoint,Global Step,Phase Reset,Parseable Guard Fired,Format Guard Fired,Finish Guard Fired,Correctness Rule Fired,Stable Structure,Stable Window Ready,Correctness Plateau,Triggered Rules,Changed Components,Clamped Components,Exact Previous,Exact Current,Exact Delta,Parseable Rate,Solution Tag Compliance,Reasoning Tag Compliance,Malformed Rate,Truncation Rate,Average Completion Tokens,Average Token Fraction,Max Completion Length,Correctness Before,Correctness After,Correctness Delta,Formatting Before,Formatting After,Formatting Delta,Parseability Before,Parseability After,Parseability Delta,Finished Before,Finished After,Finished Delta,Controller Decision Path,Controller Decision Source,Controller Decision Match
1,smk:a:49,smoke_testmini,Smoke Testmini,phase_a,Smoke Phase A,checkpoint-49,49,True,True,True,True,False,False,False,False,parseable_guard;format_guard;finish_guard,finished_reward,,,0.5,,0.5,0.5,0.5,0.5,0.5,62.0,0.96875,64,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.5,1.75,0.25,,reconstructed,True
2,smk:b:60,smoke_testmini,Smoke Testmini,phase_b,Smoke Phase B,checkpoint-60,60,True,False,False,False,False,True,False,False,,,,,0.5,,1.0,1.0,1.0,0.0,0.0,45.5,0.7109375,64,4.0,4.0,0.0,0.75,0.75,0.0,0.75,0.75,0.0,1.0,1.0,0.0,,reconstructed,True
3,smk:b:120,smoke_testmini,Smoke Testmini,phase_b,Smoke Phase B,checkpoint-120,120,False,False,False,False,True,True,True,True,correctness_escalation,correctness_reward,,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,34.0,0.53125,64,4.0,4.5,0.5,0.75,0.75,0.0,0.75,0.75,0.0,1.0,1.0,0.0,,reconstructed,True
4,smk:b:180,smoke_testmini,Smoke Testmini,phase_b,Smoke Phase B,checkpoint-180,180,False,False,False,False,True,True,True,True,correctness_escalation,correctness_reward,,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,33.0,0.515625,64,4.5,5.0,0.5,0.75,0.75,0.0,0.75,0.75,0.0,1.0,1.0,0.0,,reconstructed,True
5,smk:b:240,smoke_testmini,Smoke Testmini,phase_b,Smoke Phase B,checkpoint-240,240,False,False,False,False,True,True,True,True,correctness_escalation,correctness_reward,,0.5,0.0,-0.5,1.0,1.0,1.0,0.0,0.0,30.5,0.4765625,64,5.0,5.5,0.5,0.75,0.75,0.0,0.75,0.75,0.0,1.0,1.0,0.0,,reconstructed,True
6,smk:b:242,smoke_testmini,Smoke Testmini,phase_b,Smoke Phase B,checkpoint-242,242,False,False,False,False,True,True,True,True,correctness_escalation,correctness_reward,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,27.5,0.4296875,64,5.5,6.0,0.5,0.75,0.75,0.0,0.75,0.75,0.0,1.0,1.0,0.0,,reconstructed,True
7,smk:c:60,smoke_testmini,Smoke Testmini,phase_c,Smoke Phase C,checkpoint-60,60,True,False,False,False,False,True,False,False,,,,,0.0,,1.0,1.0,1.0,0.0,0.0,33.5,0.5234375,64,5.0,5.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
8,smk:c:119,smoke_testmini,Smoke Testmini,phase_c,Smoke Phase C,checkpoint-119,119,False,False,False,False,False,True,True,False,,,,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,25.5,0.3984375,64,5.0,5.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
9,smk:d:30,smoke_testmini,Smoke Testmini,phase_d,Smoke Phase D,checkpoint-30,30,True,True,True,True,False,False,False,False,parseable_guard;format_guard;finish_guard,format_reward;parseable_reward;finished_reward,,,0.5,,0.5,0.5,0.5,0.5,0.5,72.5,0.7552083333333334,96,5.0,5.0,0.0,0.5,0.75,0.25,0.5,0.75,0.25,0.75,1.0,0.25,,reconstructed,True
10,lgc:c:60,large_split_continue,Large Split Continue,phase_c,Large Phase C,checkpoint-60,60,True,False,False,False,False,True,False,False,,,,,0.25,,1.0,1.0,1.0,0.0,0.0,27.25,0.42578125,64,5.0,5.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
11,lgc:c:120,large_split_continue,Large Split Continue,phase_c,Large Phase C,checkpoint-120,120,False,False,False,False,False,True,True,False,,,,0.25,0.75,0.5,1.0,1.0,1.0,0.0,0.0,25.0,0.390625,64,5.0,5.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
12,lgc:c:180,large_split_continue,Large Split Continue,phase_c,Large Phase C,checkpoint-180,180,False,False,False,False,True,True,True,True,correctness_escalation,correctness_reward,,0.75,0.5,-0.25,1.0,1.0,1.0,0.0,0.0,23.75,0.37109375,64,5.0,5.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
13,lgc:c:240,large_split_continue,Large Split Continue,phase_c,Large Phase C,checkpoint-240,240,False,False,False,False,True,True,True,True,correctness_escalation,correctness_reward,,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,27.75,0.43359375,64,5.5,6.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.75,0.0,,reconstructed,True
