Milestone ID,Run Family,Run Family Label,Notebook / Run Slug,Output Root,Phase,Phase Label,Checkpoint,Global Step,Timeline Order,X Label,Artifact Status,Metrics Source Kind,Alias Role,Alias Roles,Keep / Discard,Decision Reason,Key Interpretation,Train Split,Eval Split,Hardware Profile,Seed / Resume Source,Warm-Start Checkpoint,Training Strategy Introduced,Stage Mix / Curriculum,Phase Description,Phase Default Resume Selector,Base Model,4-bit Enabled,Fast Inference Enabled,Fast Inference Mode,Compilation Mode,max_seq_length,image_size,LoRA Rank,Max LoRA Rank,gradient_accumulation_steps,gpu_memory_utilization,num_generations,max_prompt_length,max_completion_length,max_eval_examples_per_subset,Configured Initial Correctness Weight,Configured Initial Formatting Weight,Configured Initial Parseability Weight,Configured Initial Finished Weight,Configured Initial Tolerance Weight,Configured Initial Brevity Weight,Correctness Weight,Formatting Weight,Parseability Weight,Finished Weight,Tolerance Weight,Brevity Weight,Correctness Reward Mean,Format Reward Mean,Parseable Reward Mean,Finished Reward Mean,Tolerance Reward Mean,Exact Match,Tolerance Accuracy,Best-of-k Accuracy,Best-of-k Tolerance Accuracy,Sample-Level Exact Match,Sample-Level Tolerance Accuracy,Parseable Rate,Reasoning Tag Compliance,Solution Tag Compliance,Well-Formed Rate,Malformed Rate,Completion Success Rate,Truncation Rate,Average Completion Tokens,Repetition Rate,Sample Diversity,Average Total Reward,Structure Score,Correctness Score,Composite Score,KL Mean,KL P95,Checkpoint Rank Within Phase,Is Best Composite,Is Best Correctness,Is Best Structure,Is Latest,Controller History Length,Delta Exact vs Previous Milestone,Delta Composite vs Previous Milestone,Checkpoint Path,Checkpoint Path Abs,Evidence Root,Metrics Source Path,Checkpoint Info Path,Reward Weights Path,Controller State Path,Run Config Path,Run Request Path,Diagnostics Path,Train Log Summary Path,Summary Path,Notes
,baseline_pre_refactor,Pre-Refactor Baseline,local_pre_refactor_snapshot,grpo_eval_outputs,baseline,Baseline,baseline,0,0,base,baseline_snapshot,local_eval_snapshot,,,reference,Reference-only baseline used for before/after comparison.,Structure was still weak and completions were long before the staged RL refactor.,unknown_pre_refactor,unknown_pre_refactor,local_pre_refactor,,,Pre-refactor RL baseline without staged curriculum or metric-aware checkpointing.,mixed numeric free-form baseline,Legacy local evaluation snapshot before the staged RL refactor.,,unsloth/Qwen2.5-VL-7B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,3.828125,0.153125,,,,0.375,0.375,0.59375,0.59375,0.3828125,0.3828125,0.640625,0.7734375,0.7578125,0.640625,0.359375,0.7578125,0.2421875,196.328125,0.10571739311755646,0.3203125,3.9812500000000006,0.45234375000000004,0.4015625,0.4054687500000001,0.004899600711241938,0.014977855782490224,,,,,,,,,grpo_eval_outputs/eval_metrics.json,/home/kgaer/code/RL_GSPO_Qwen2.5VLM/grpo_eval_outputs/eval_metrics.json,/home/kgaer/code/RL_GSPO_Qwen2.5VLM/grpo_eval_outputs,/home/kgaer/code/RL_GSPO_Qwen2.5VLM/grpo_eval_outputs/eval_metrics.json,,,,,,,/home/kgaer/code/RL_GSPO_Qwen2.5VLM/grpo_eval_outputs/train_log_summary.json,,
,smoke_testmini,Smoke Testmini,mcgmcg1/rl-gspo-qwen2-5vlm-staged-train,outputs_staged,phase_a,Smoke Phase A,checkpoint-49,49,1,smk:a:49,actual_checkpoint,checkpoint_artifact,best_composite,best_composite;best_correctness;best_structure;latest,keep,Phase-best composite checkpoint.,,testmini,testmini,kaggle_t4,,,Structure stabilization on Stage 1 easy numeric subset.,stage1_easy_numeric=1.00,Structure stabilization on Stage 1.,,unsloth/Qwen2.5-VL-7B-Instruct,True,True,vLLM,"PIECEWISE, level=3",1280,336,8,8,4,0.65,2,320,64,2,2.0,1.0,1.0,1.5,0.0,0.25,2.0,1.0,1.0,1.75,0.0,0.25,0.5,0.75,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,62.0,0.0945945945945946,0.5,2.0625,0.25,0.49999999999999994,0.39999999999999997,0.011815512730789091,0.030862615909427404,1,True,True,True,True,1,,,outputs_staged/phase_a/checkpoint-49,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-49,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-49/eval_metrics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-49/checkpoint_info.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-49/reward_weights.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-49/controller_state.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/run_config.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/run_request.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/post_training_diagnostics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/train_log_summary.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_a/checkpoint-49/summary.txt,
,smoke_testmini,Smoke Testmini,mcgmcg1/rl-gspo-qwen2-5vlm-staged-train,outputs_staged,phase_b,Smoke Phase B,checkpoint-60,60,2,smk:b:60,actual_checkpoint,checkpoint_artifact,best_composite,best_composite;best_correctness;best_structure,keep,Phase-best composite checkpoint.,,testmini,testmini,kaggle_t4,best_structure,,Correctness strengthening on Stage 1+2 mix after structure stabilization.,stage1_easy_numeric=0.70; stage2_float_numeric=0.30,Correctness strengthening with Stage 1/2 mix.,best_structure,unsloth/Qwen2.5-VL-7B-Instruct,True,True,vLLM,"PIECEWISE, level=3",1280,336,8,8,4,0.65,2,320,64,2,4.0,0.75,0.75,1.0,0.0,0.2,4.0,0.75,0.75,1.0,0.0,0.2,0.5,2.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,45.5,0.0,1.0,5.35,0.75,0.5499999999999999,0.6,7.508153755988144,1.4410345554351807,1,True,True,True,False,1,,,outputs_staged/phase_b/checkpoint-60,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-60,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-60/eval_metrics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-60/checkpoint_info.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-60/reward_weights.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-60/controller_state.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/run_config.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/run_request.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/post_training_diagnostics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/train_log_summary.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-60/summary.txt,
,smoke_testmini,Smoke Testmini,mcgmcg1/rl-gspo-qwen2-5vlm-staged-train,outputs_staged,phase_b,Smoke Phase B,checkpoint-120,120,3,smk:b:120,actual_checkpoint,checkpoint_artifact,none,,discard,Non-alias checkpoint retained for audit trail only.,,testmini,testmini,kaggle_t4,best_structure,,Correctness strengthening on Stage 1+2 mix after structure stabilization.,stage1_easy_numeric=0.70; stage2_float_numeric=0.30,Correctness strengthening with Stage 1/2 mix.,best_structure,unsloth/Qwen2.5-VL-7B-Instruct,True,True,vLLM,"PIECEWISE, level=3",1280,336,8,8,4,0.65,2,320,64,2,4.0,0.75,0.75,1.0,0.0,0.2,4.5,0.75,0.75,1.0,0.0,0.2,0.5,2.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,34.0,0.0,1.0,5.45,0.75,0.5499999999999999,0.6,7.508153755988144,1.4410345554351807,2,False,False,False,False,2,,,outputs_staged/phase_b/checkpoint-120,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-120,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-120/eval_metrics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-120/checkpoint_info.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-120/reward_weights.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-120/controller_state.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/run_config.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/run_request.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/post_training_diagnostics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/train_log_summary.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-120/summary.txt,
,smoke_testmini,Smoke Testmini,mcgmcg1/rl-gspo-qwen2-5vlm-staged-train,outputs_staged,phase_b,Smoke Phase B,checkpoint-180,180,4,smk:b:180,actual_checkpoint,checkpoint_artifact,none,,discard,Non-alias checkpoint retained for audit trail only.,,testmini,testmini,kaggle_t4,best_structure,,Correctness strengthening on Stage 1+2 mix after structure stabilization.,stage1_easy_numeric=0.70; stage2_float_numeric=0.30,Correctness strengthening with Stage 1/2 mix.,best_structure,unsloth/Qwen2.5-VL-7B-Instruct,True,True,vLLM,"PIECEWISE, level=3",1280,336,8,8,4,0.65,2,320,64,2,4.0,0.75,0.75,1.0,0.0,0.2,5.0,0.75,0.75,1.0,0.0,0.2,0.5,2.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,0.027777777777777776,1.0,5.65,0.75,0.5499999999999999,0.6,7.508153755988144,1.4410345554351807,3,False,False,False,False,3,,,outputs_staged/phase_b/checkpoint-180,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-180,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-180/eval_metrics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-180/checkpoint_info.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-180/reward_weights.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-180/controller_state.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/run_config.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/run_request.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/post_training_diagnostics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/train_log_summary.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-180/summary.txt,
,smoke_testmini,Smoke Testmini,mcgmcg1/rl-gspo-qwen2-5vlm-staged-train,outputs_staged,phase_b,Smoke Phase B,checkpoint-240,240,5,smk:b:240,actual_checkpoint,checkpoint_artifact,none,,discard,Non-alias checkpoint retained for audit trail only.,,testmini,testmini,kaggle_t4,best_structure,,Correctness strengthening on Stage 1+2 mix after structure stabilization.,stage1_easy_numeric=0.70; stage2_float_numeric=0.30,Correctness strengthening with Stage 1/2 mix.,best_structure,unsloth/Qwen2.5-VL-7B-Instruct,True,True,vLLM,"PIECEWISE, level=3",1280,336,8,8,4,0.65,2,320,64,2,4.0,0.75,0.75,1.0,0.0,0.2,5.5,0.75,0.75,1.0,0.0,0.2,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,30.5,0.0,1.0,3.45,0.75,0.1,0.3,7.508153755988144,1.4410345554351807,4,False,False,False,False,4,,,outputs_staged/phase_b/checkpoint-240,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-240,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-240/eval_metrics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-240/checkpoint_info.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-240/reward_weights.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-240/controller_state.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/run_config.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/run_request.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/post_training_diagnostics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/train_log_summary.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-240/summary.txt,
,smoke_testmini,Smoke Testmini,mcgmcg1/rl-gspo-qwen2-5vlm-staged-train,outputs_staged,phase_b,Smoke Phase B,checkpoint-242,242,6,smk:b:242,actual_checkpoint,checkpoint_artifact,latest,latest,discard,Latest checkpoint is not the recommended phase checkpoint.,,testmini,testmini,kaggle_t4,best_structure,,Correctness strengthening on Stage 1+2 mix after structure stabilization.,stage1_easy_numeric=0.70; stage2_float_numeric=0.30,Correctness strengthening with Stage 1/2 mix.,best_structure,unsloth/Qwen2.5-VL-7B-Instruct,True,True,vLLM,"PIECEWISE, level=3",1280,336,8,8,4,0.65,2,320,64,2,4.0,0.75,0.75,1.0,0.0,0.2,6.0,0.75,0.75,1.0,0.0,0.2,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,27.5,0.0,1.0,3.45,0.75,0.1,0.3,7.508153755988144,1.4410345554351807,5,False,False,False,True,5,,,outputs_staged/phase_b/checkpoint-242,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-242,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-242/eval_metrics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-242/checkpoint_info.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-242/reward_weights.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-242/controller_state.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/run_config.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/run_request.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/post_training_diagnostics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/train_log_summary.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_b/checkpoint-242/summary.txt,
,smoke_testmini,Smoke Testmini,mcgmcg1/rl-gspo-qwen2-5vlm-staged-train,outputs_staged,phase_c,Smoke Phase C,checkpoint-60,60,7,smk:c:60,actual_checkpoint,checkpoint_artifact,best_structure,best_structure,keep_secondary,Secondary alias checkpoint kept for analysis.,,testmini,testmini,kaggle_t4,best_composite,,Precision and harder numeric reasoning on Stage 2+3 with larger split continuation.,stage2_float_numeric=0.60; stage3_hard_numeric=0.40,Precision and harder reasoning with Stage 2/3 mix.,best_composite,unsloth/Qwen2.5-VL-7B-Instruct,True,True,vLLM,"PIECEWISE, level=3",1280,336,8,8,4,0.65,2,320,64,2,5.0,0.5,0.5,0.75,1.0,0.2,5.0,0.5,0.5,0.75,1.0,0.2,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,33.5,0.0,1.0,2.4000000000000004,0.75,0.1,0.3,0.5260586684732111,1.049009770154953,1,False,False,True,False,1,,,outputs_staged/phase_c/checkpoint-60,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/checkpoint-60,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/checkpoint-60/eval_metrics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/checkpoint-60/checkpoint_info.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/checkpoint-60/reward_weights.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/checkpoint-60/controller_state.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/run_config.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/run_request.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/post_training_diagnostics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/train_log_summary.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/checkpoint-60/summary.txt,
,smoke_testmini,Smoke Testmini,mcgmcg1/rl-gspo-qwen2-5vlm-staged-train,outputs_staged,phase_c,Smoke Phase C,checkpoint-119,119,8,smk:c:119,actual_checkpoint,checkpoint_artifact,best_composite,best_composite;best_correctness;latest,keep,Phase-best composite checkpoint.,,testmini,testmini,kaggle_t4,best_composite,,Precision and harder numeric reasoning on Stage 2+3 with larger split continuation.,stage2_float_numeric=0.60; stage3_hard_numeric=0.40,Precision and harder reasoning with Stage 2/3 mix.,best_composite,unsloth/Qwen2.5-VL-7B-Instruct,True,True,vLLM,"PIECEWISE, level=3",1280,336,8,8,4,0.65,2,320,64,2,5.0,0.5,0.5,0.75,1.0,0.2,5.0,0.5,0.5,0.75,1.0,0.2,0.5,2.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,25.5,0.0,1.0,4.95,0.75,0.5499999999999999,0.6,0.5260586684732111,1.049009770154953,2,True,True,False,True,2,,,outputs_staged/phase_c/checkpoint-119,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/checkpoint-119,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/checkpoint-119/eval_metrics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/checkpoint-119/checkpoint_info.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/checkpoint-119/reward_weights.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/checkpoint-119/controller_state.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/run_config.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/run_request.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/post_training_diagnostics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/train_log_summary.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_c/checkpoint-119/summary.txt,
,smoke_testmini,Smoke Testmini,mcgmcg1/rl-gspo-qwen2-5vlm-staged-train,outputs_staged,phase_d,Smoke Phase D,checkpoint-30,30,9,smk:d:30,actual_checkpoint,checkpoint_artifact,best_composite,best_composite;best_correctness;best_structure;latest,keep,Phase-best composite checkpoint.,,testmini,testmini,kaggle_t4,best_composite,,Hard numeric specialization on Stage 3-heavy subset.,stage3_hard_numeric=1.00,Hard Stage 3 strengthening with longer completions allowed.,best_composite,unsloth/Qwen2.5-VL-7B-Instruct,True,True,vLLM,"PIECEWISE, level=3",1280,336,8,8,4,0.65,2,320,96,2,5.0,0.5,0.5,0.75,1.0,0.3,5.0,0.75,0.75,1.0,1.0,0.3,0.5,0.75,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,72.5,0.040983606557377046,0.5,3.125,0.25,0.49999999999999994,0.39999999999999997,0.02513732260316222,0.051872952841222286,1,True,True,True,True,1,,,outputs_staged/phase_d/checkpoint-30,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_d/checkpoint-30,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_d/checkpoint-30/eval_metrics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_d/checkpoint-30/checkpoint_info.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_d/checkpoint-30/reward_weights.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_d/checkpoint-30/controller_state.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_d/run_config.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_d/run_request.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_d/post_training_diagnostics.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_d/train_log_summary.json,/tmp/rl-gspo-report-smoke/RL_GSPO_Qwen2.5VLM/outputs_staged/phase_d/checkpoint-30/summary.txt,
